,receptor,molecule_chembl_id,canonical_smiles,type,relation,value,units,target_id,action_type,nombre_comercial,document_chembl_id,UMAP-1,UMAP-2
82,A1,CHEMBL25554,COc1cccc(OC)c1OCCNCC1COc2ccccc2O1,pA2,=,8.9,,CHEMBL2094251,,,CHEMBL1129998,1.2098901,4.590806
83,A1,CHEMBL24981,COc1ccc(Cl)cc1N1CCN(CCCNc2nccc(C(N)=O)n2)CC1,pA2,=,8.6,,CHEMBL2094251,,,CHEMBL1129998,4.5444775,-2.9026144
84,A1,CHEMBL94356,CCCCN(CCCCCCNCCOc1ccccc1OC)[C@H]1CCc2c(ccc(O)c2O)C1,pA2,=,6.6,,CHEMBL2094251,,,CHEMBL1129706,-3.8141534,2.7293751
85,A1,CHEMBL328693,CCCN(CCCCCCN(CCC)[C@H]1CCc2c(ccc(O)c2O)C1)CCOc1ccccc1OC,pA2,<,5.0,,CHEMBL2094251,,,CHEMBL1129706,-3.6302018,2.7132785
86,A1,CHEMBL611,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,Ratio,<,1.0,,CHEMBL2094251,,,CHEMBL1132476,-1.4971253,-6.2069454
87,A1,CHEMBL597,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,pA2,=,7.82,,CHEMBL2094251,,,CHEMBL1123932,-16.887455,7.401117
88,A1,CHEMBL597,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,Relative potency,=,9.8,,CHEMBL2094251,,,CHEMBL1123932,-16.843372,7.3612475
89,A1,CHEMBL2,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,pA2,=,8.76,,CHEMBL2094251,,,CHEMBL1123932,-19.530098,-2.8207312
90,A1,CHEMBL2,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,Relative potency,=,85.0,,CHEMBL2094251,,,CHEMBL1123932,-19.471537,-2.8517165
91,A1,CHEMBL282636,COC(=O)[C@@H]1[C@H]2C[C@H]3c4cc5c(cc4CCN3C[C@@H]2CC[C@H]1O)OCO5,pA2,=,4.81,,CHEMBL2094251,,,CHEMBL1123932,3.557999,6.083907
92,A1,CHEMBL282636,COC(=O)[C@@H]1[C@H]2C[C@H]3c4cc5c(cc4CCN3C[C@@H]2CC[C@H]1O)OCO5,Relative potency,=,0.01,,CHEMBL2094251,,,CHEMBL1123932,3.560121,6.1184506
93,A1,CHEMBL28531,O[C@H]1CCC2CN3CCc4cc5c(cc4[C@@H]3C[C@@H]2C1)OCO5,pA2,=,5.39,,CHEMBL2094251,,,CHEMBL1123932,3.273981,4.7500663
